Title,Year,Genre,TMDb Rating
Venom: The Last Dance,2024,Action,6.5
Gladiator II,2024,Action,6.767
Apocalypse Z: The Beginning of the End,2024,Action,6.76
Levels,2024,Action,5.4
Deadpool & Wolverine,2024,Action,7.689
Classified,2024,Action,5.6
Red One,2024,Action,6.6
Arcadian,2024,Action,6.1
OVERLORD: The Sacred Kingdom,2024,Action,7.2
Despicable Me 4,2024,Action,7.082
The Count of Monte-Cristo,2024,Action,8.2
Cash Out,2024,Action,6.284
Freedom,2024,Action,6.5
Survive,2024,Action,5.8
Azrael,2024,Action,6.1
Venom: Let There Be Carnage,2021,Action,6.798
Canary Black,2024,Action,6.31
Take Cover,2024,Action,7.034
Bad Boys: Ride or Die,2024,Action,7.491
Knox Goes Away,2024,Action,6.7
Dominique,2024,Action,7.37
John Wick: Chapter 4,2023,Action,7.7
My Hero Academia: You're Next,2024,Action,6.827
The Crow,2024,Action,5.866
Transmorphers: Mech Beasts,2023,Action,5.5
Brothers,2024,Action,6.067
Project Silence,2024,Action,7.0
Kung Fu Panda 4,2024,Action,7.092
Wrath of Man,2021,Action,7.6
The Garfield Movie,2024,Action,7.109
Invasion,2024,Action,5.0
Migration,2023,Action,7.436
Godzilla x Kong: The New Empire,2024,Action,7.145
Kingdom of the Planet of the Apes,2024,Action,7.109
The Killer's Game,2024,Action,6.9
The Shadow Strays,2024,Action,7.4
Dragonkeeper,2024,Action,7.5
Sonic the Hedgehog 3,2024,Action,0.0
Operation Black Ops,2023,Action,5.641
Hijack 1971,2024,Action,6.171
